Time;CHIRPS precipitation;Nino3.4
Jan-01;4541766;-0.701
Feb-01;3213016;-0.598
Mar-01;2092074;-0.468
Apr-01;167142;-0.484
May-01;1528766;-0.337
Jun-01;1225124;-0.192
Jul-01;691891;-0.049
Aug-01;2890907;-0.042
Sep-01;6484933;-0.176
Oct-01;2484628;-0.139
Nov-01;9307323;-0.342
Dec-01;8836983;-0.392
Jan-02;5183265;-0.164
Feb-02;4174799;-0.065
Mar-02;2093727;-0.013
Apr-02;1142147;0.014
May-02;1361626;0.27
Jun-02;4807964;0.643
Jul-02;8055503;0.65
Aug-02;2229469;0.769
Sep-02;1719053;0.975
Oct-02;1270266;1.117
Nov-02;6289378;1.310
Dec-02;1161471;1.250
Jan-03;1308288;0.582
Feb-03;3114922;0.607
Mar-03;1362717;0.364
Apr-03;8260966;-0.105
May-03;5176218;-0.531
Jun-03;1150091;-0.249
Jul-03;1825628;0.183
Aug-03;3440726;0.233
Sep-03;5728635;0.252
Oct-03;1676163;0.404
Nov-03;9034883;0.322
Dec-03;1818646;0.396
Jan-04;2423392;0.264
Feb-04;4853564;0.22
Mar-04;2030204;0.101
Apr-04;190691;0.051
May-04;1881115;0.043
Jun-04;5919927;0.101
Jul-04;5571632;0.418
Aug-04;321022;0.666
Sep-04;2957991;0.744
Oct-04;4014066;0.67
Nov-04;6290721;0.612
Dec-04;1905332;0.713
Jan-05;3716668;0.637
Feb-05;351449;0.339
Mar-05;2618051;0.421
Apr-05;7595093;0.237
May-05;1187621;0.261
Jun-05;1192095;0.027
Jul-05;4747284;-0.23
Aug-05;7889162;-0.066
Sep-05;5016971;-0.049
Oct-05;138209;-0.073
Nov-05;6759686;-0.549
Dec-05;1582142;-0.853
Jan-06;491;-0.858
Feb-06;2688881;-0.648
Mar-06;256527;-0.666
Apr-06;1331955;-0.309
May-06;8367426;-0.103
Jun-06;4822275;-0.026
Jul-06;3018884;-0.012
Aug-06;1200047;0.269
Sep-06;9432865;0.553
Oct-06;1626471;0.652
Nov-06;2859893;0.915
Dec-06;1854424;1.048
Jan-07;187255;0.638
Feb-07;272777;0.136
Mar-07;2190616;-0.15
Apr-07;2042331;-0.269
May-07;1795641;-0.423
Jun-07;9610855;-0.324
Jul-07;248722;-0.519
Aug-07;5135721;-0.649
Sep-07;2473963;-1.014
Oct-07;9256104;-1.283
Nov-07;5584736;-1.432
Dec-07;4002202;-1.490
Jan-08;2417385;-1.614
Feb-08;599579;-1.596
Mar-08;1832513;-1.183
Apr-08;1821761;-0.977
May-08;7163101;-0.825
Jun-08;494164;-0.671
Jul-08;8450161;-0.325
Aug-08;4647809;-0.154
Sep-08;3308872;-0.265
Oct-08;9563776;-0.346
Nov-08;8392253;-0.453
Dec-08;1706243;-0.808
Jan-09;5092772;-0.828
Feb-09;2970915;-0.732
Mar-09;1283339;-0.64
Apr-09;1332731;-0.324
May-09;1594024;0.051
Jun-09;9346767;0.295
Jul-09;2201444;0.444
Aug-09;1883707;0.53
Sep-09;4357603;0.646
Oct-09;8605025;0.849
Nov-09;7742382;1.365
Dec-09;126927;1.631
Jan-10;4213525;1.424
Feb-10;3675543;1.158
Mar-10;2721637;0.838
Apr-10;8662875;0.379
May-10;2084055;-0.185
Jun-10;1571121;-0.626
Jul-10;1281729;-0.986
Aug-10;1484096;-1.288
Sep-10;1911535;-1.497
Oct-10;2195363;-1.606
Nov-10;8248965;-1.576
Dec-10;1329127;-1.542
Jan-11;3532084;-1.493
Feb-11;1944045;-1.093
Mar-11;1479666;-0.91
Apr-11;1267011;-0.774
May-11;1765794;-0.55
Jun-11;7113457;-0.413
Jul-11;4395763;-0.452
Aug-11;1556183;-0.647
Sep-11;1437747;-0.779
Oct-11;6669677;-1.011
Nov-11;8385923;-1.129
Dec-11;1693546;-1.022
Jan-12;3667452;-0.851
Feb-12;202329;-0.645
Mar-12;1802873;-0.579
Apr-12;1998224;-0.467
May-12;1160252;-0.304
Jun-12;5192507;0.002
Jul-12;1971503;0.217
Aug-12;3070238;0.416
Sep-12;1868382;0.344
Oct-12;9263049;0.244
Nov-12;8687917;0.15
Dec-12;2026148;-0.22
Jan-13;709;-0.479
Feb-13;2203131;-0.466
Mar-13;1715939;-0.24
Apr-13;1398766;-0.214
May-13;2239012;-0.351
Jun-13;9364024;-0.388
Jul-13;1844781;-0.366
Aug-13;3866716;-0.361
Sep-13;4464598;-0.183
Oct-13;8680035;-0.201
Nov-13;5999356;-0.142
Dec-13;3448538;-0.152
Jan-14;8511024;-0.463
Feb-14;5312344;-0.555
Mar-14;2410284;-0.253
Apr-14;1833731;0.072
May-14;1243067;0.269
Jun-14;120815;0.188
Jul-14;1114645;-0.059
Aug-14;2971221;-0.02
Sep-14;1398662;0.254
Oct-14;1543914;0.401
Nov-14;6355241;0.692
Dec-14;170949;0.67
Jan-15;4021607;0.522
Feb-15;4985535;0.445
Mar-15;1902638;0.467
Apr-15;1237049;0.653
May-15;5093014;0.851
Jun-15;4062579;1.084
Jul-15;107173;1.340
Aug-15;2098387;1.779
Sep-15;1054003;2.039
Oct-15;6351457;2.198
Nov-15;4762019;2.519
Dec-15;1594053;2.477
Jan-16;2019283;2.396
Feb-16;4517195;2.106
Mar-16;2254262;1.539
Apr-16;2072296;0.911
May-16;1852101;0.371
Jun-16;1648739;0.068
Jul-16;1133321;-0.349
Aug-16;1455056;-0.467
Sep-16;1923202;-0.493
Oct-16;2462212;-0.651
Nov-16;1557865;-0.657
Dec-16;6653231;-0.418
Jan-17;3249537;-0.351
Feb-17;4127392;-0.058
Mar-17;176498;0.046
Apr-17;1170069;0.199
May-17;1624184;0.331
Jun-17;1525908;0.308
Jul-17;6595192;0.25
Aug-17;2822753;-0.129
Sep-17;706452;-0.389
Oct-17;1268761;-0.517
Nov-17;1013848;-0.859
Dec-17;1539932;-0.896
Jan-18;2586823;-0.888
Feb-18;3621627;-0.723
Mar-18;2000646;-0.737
Apr-18;129544;-0.465
May-18;1018221;-0.183
Jun-18;5032119;0.045
Jul-18;9710632;0.125
Aug-18;1579768;0.106
Sep-18;2487716;0.452
Oct-18;320425;0.846
Nov-18;8877435;0.846
Dec-18;9913036;0.817
Jan-19;3864093;0.607
Feb-19;2007593;0.676
Mar-19;2395852;0.769
Apr-19;1608632;0.619
May-19;6688229;0.555
Jun-19;2561617;0.462
Jul-19;1165818;0.371
Aug-19;1224214;0.099
Sep-19;9027884;0.081
Oct-19;1186142;0.474
Nov-19;3472219;0.516
Dec-19;1718079;0.516
Jan-20;4306333;0.589
Feb-20;4746658;0.372
Mar-20;2342707;0.475
Apr-20;1646405;0.376
May-20;1846234;-0.205
Jun-20;5316664;-0.271
Jul-20;705836;-0.243
Aug-20;5203775;-0.512
Sep-20;1088651;-0.76
Oct-20;119699;-1.147
Nov-20;7233375;-1.298
Dec-20;1263407;-1.077
Jan-21;3732445;-0.965
Feb-21;4803376;-0.952
Mar-21;1518001;-0.747
Apr-21;1046631;-0.675
May-21;1217668;-0.448
Jun-21;1083086;-0.277
Jul-21;6620139;-0.369
Aug-21;6052253;-0.479
Sep-21;8424696;-0.532
Oct-21;1804504;-0.869
Nov-21;1059342;-0.881
Dec-21;1230106;-0.991
